pub_date,web_url;headline
2010-06-23T00:00:00Z;http://www.nytimes.com/2010/06/23/us/23brfs-USRELAXESRUL_BRF.html;Michigan: U.S. Relaxes Rules for Refugees
2010-07-08T00:00:00Z;http://www.nytimes.com/slideshow/2010/07/08/world/20100708HAITI.html;haiti's Island Departure Gate
2010-07-11T00:00:00Z;http://www.nytimes.com/interactive/2010/07/11/world/americas/11haiti-seekingshelter-interactive.html;Seeking Shelter in Haiti
2010-07-11T00:00:00Z;http://www.nytimes.com/2010/07/11/world/americas/11haiti.html;In Haiti, the Displaced Are Left Clinging to the Edge
2010-07-15T00:00:00Z;http://www.nytimes.com/2010/07/15/world/americas/15haiti.html;Storm Strikes Haven for Displaced Haitians
2010-07-17T00:00:00Z;http://www.nytimes.com/2010/07/17/world/africa/17uganda.html;Tricked, Rwandan Refugees Are Driven Home, U.N. Says
2010-07-17T00:00:00Z;http://www.nytimes.com/2010/07/17/opinion/17sat1.html;haiti at Six Months
2010-07-22T00:00:00Z;http://www.nytimes.com/2010/07/22/world/africa/22uganda.html;Somali Refugees Fear Loss of Ugandan Haven
2010-07-28T00:00:00Z;http://www.nytimes.com/2010/07/28/world/middleeast/28exiles.html;Iranian Exiles Struggle to Stay Involved
2010-07-31T00:00:00Z;http://www.nytimes.com/2010/07/31/opinion/31topping.html;No Afghan Ally Left Behind
2010-08-01T00:00:00Z;http://www.nytimes.com/2010/08/01/us/01benefits.html;Many Indigent Refugees to Lose Federal Assistance
2010-08-01T00:00:00Z;http://www.nytimes.com/2010/08/01/world/middleeast/01neda.html;Mistaken as an Iranian Martyr, Then Hounded
2010-08-09T00:00:00Z;http://www.nytimes.com/2010/08/09/opinion/09mon4.html;Vulnerable Refugees, Losing a Lifeline
2010-08-09T00:00:00Z;http://www.nytimes.com/2010/08/09/nyregion/09nychaiti.html;Haitians Look to Family 1,500 Miles North for Help
2010-08-13T00:00:00Z;http://www.nytimes.com/2010/08/13/world/americas/13canada.html;Canada Stops Ship Carrying 490 People
2010-08-18T00:00:00Z;http://www.nytimes.com/2010/08/18/world/middleeast/18lebanon.html;Lebanon Gives Palestinians New Work Rights
2010-08-22T00:00:00Z;http://www.nytimes.com/2010/08/22/us/22cncpulse2.html;The Pulse | Iraqi Refugee Gets His Green Card at Last
2010-08-30T00:00:00Z;http://www.nytimes.com/2010/08/30/opinion/30mon2.html;Plans and Benchmarks for Haiti
2010-08-31T00:00:00Z;http://www.nytimes.com/2010/08/31/opinion/31sanghvi.html;Abandoned in Baghdad
2010-09-04T00:00:00Z;http://www.nytimes.com/2010/09/04/world/middleeast/04briefs-DEPORT.html;Iraq: U.N. Asks Europe to Halt Deportations
2010-09-20T00:00:00Z;http://www.nytimes.com/2010/09/20/world/americas/20haiti.html;haitians Cry in Letters: 'Please — Do Something!'
2010-09-29T00:00:00Z;http://www.nytimes.com/2010/09/29/opinion/29wed3.html;Lifeline for Refugees
2010-10-01T00:00:00Z;http://www.nytimes.com/2010/10/01/opinion/01clesca.html;Blue Haiti
2010-10-02T00:00:00Z;http://www.nytimes.com/2010/10/02/nyregion/02bigcity.html;A Show About Iraqi Refugees, to an Audience That Can Relate
2010-10-05T00:00:00Z;http://www.nytimes.com/2010/10/05/world/americas/05haiti.html;In Haiti, Rising Call for Displaced to Go Away
2010-10-09T00:00:00Z;http://www.nytimes.com/2010/10/09/us/09refugees.html;Arizona Is a Haven for Refugees
2010-10-11T00:00:00Z;http://www.nytimes.com/2010/10/11/world/europe/11hungary.html;Fears of More Red Sludge in Hungary
2010-10-23T00:00:00Z;http://www.nytimes.com/2010/10/23/world/americas/23cholera.html;Cholera Outbreak Kills 150 in Haiti
2010-10-25T00:00:00Z;http://www.nytimes.com/2010/10/25/world/americas/25haiti.html;In Haiti, Capital Braces for a Cholera Outbreak
2010-10-29T00:00:00Z;http://www.nytimes.com/2010/10/29/world/africa/29briefs-Guinea.html;Guinea: Ethnic Clashes Produce Stream of Refugees
2010-11-02T00:00:00Z;http://www.nytimes.com/2010/11/02/world/middleeast/02nablus.html;Stability in West Bank Transforms a City of Chaos
